Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Foley_1983_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1983_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1985_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1987_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Foley_1989_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1991_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1993_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1993_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1994_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Foley_1994_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Friedman_2010_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Friedman_2010_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Friedman_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Friedman_2011_Task_2,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Friedman_2011_Task_3,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Gee_1995_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Geng_2018_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Geng_2018_Task_2,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Geng_2019_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Geng_2019_Task_2,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Geng_2019_Task_3,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Ghetti_2002_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2002_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2002_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2002_Task_4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2008_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2008_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2008b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2008b_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2010_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2010b_Task_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Ghetti_2010b_Task_2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Ghetti_2010c_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Ghetti_2010c_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Ghetti_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ghetti_2011_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Goodman_1980_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Gosse_2014_Task_1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Grammer_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Grammer_2013_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Grammer_2013_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Grammer_2013_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Greenbaum_1989_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Greenbaum_1989_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Greenhoot_2006_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Gross_2016_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Guerten_2020_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Guerten_2020_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Guerten_2020_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Gulya_2002_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Gulya_2002_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Guttentag_2003_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
